No	| English	| Vietnamese
241	| awake	| đánh thức, làm thức dậy
242	| award	| phầnthưởng; tặng,thưởng
243	| aware	| biết, nhận thức, nhận thức thấy
244	| away	| xa, xa cách, rời xa, đi xa
245	| awful	| oai nghiêm, dễ sợ
246	| awfully	| tàn khốc, khủng khiếp
247	| awkward	| vụng về, lung túng
248	| awkwardly	| vụng về, lung túng
249	| back	| lưng, sau, về phía sau, trở lại
250	| background	| phía sau; nền
251	| backward	| về phía sau, lùi lại
252	| backwards	| ngược
253	| bacteria	| vi khuẩn
254	| bad	| xấu, tồi. go bad bẩn thỉu, thối, hỏng
255	| badly	| xấu, tồi
256	| bag	| bao, túi, cặp xách
257	| baggage	| hành lý
258	| bake	| nung, nướng bằng lò
259	| balance	| cái cân; làm cho cân bằng, tương xứng
260	| ball	| quả bóng
261	| ban	| cấm, cấm chỉ; sự cấm
262	| band	| băng, đai, nẹp
263	| bandage	| dải băng; băng bó
264	| bank	| bờ (sông…) , đê
265	| bar	| quán bán rượu
266	| bargain	| sự mặc cả, sự giao kèo mua bán
267	| barrier	| đặt chướng ngại vật
268	| base	| cơsở,cơbản,nềnmóng;đặttên,đặt cơ sởtrêncáigì.based on dựatrên
269	| basic	| cơ bản, cơ sở
270	| basically	| cơ bản, về cơ bản
271	| basis	| nền tảng, cơ sở
272	| bath	| sự tắm
273	| bathroom	| buồng tắm, nhà vệ sinh
274	| battery	| pin, ắc quy
275	| battle	| trận đánh, chiến thuật
276	| bay	| gian(nhà),nhịp(cầu),chuồng(ngựa); bays:vòngnguyệtquế, vịnh
277	| be sick	| bị ốm
278	| beach	| bãi biển
279	| beak	| mỏ chim
280	| bear	| mang, cầm, vác, đeo, ôm
281	| beard	| râu
282	| beat	| tiếngđập, sự đập;đánhđập,đấm
283	| beautiful	| đẹp
284	| beautifully	| tốt đẹp, đáng hài lòng
285	| beauty	| vẻ đẹp, cái đẹp; người đẹp
286	| because	| bởi vì, vì. because of prep. vì, do bởi
287	| become	| trở thành, trở nên
288	| bed	| cái giường
289	| bedroom	| phòng ngủ
290	| beef	| thịt bò
291	| beer	| rượu bia
292	| before	| trước, đằng trước
293	| begin	| bắt đầu, khởi đầu
294	| beginning	| phần đầu, lúc bắt đầu, lúc khởi đầu
295	| behalf	| sự thay mặt. on behalf of sb thay mặt cho ai, nhân danh ai
296	| behalf, on sb’s behalf	| nhân danh cá nhân ai
297	| behave	| đối xử, ăn ở, cư xử
298	| behaviour, behavior	| thái độ, cách đối xử; cách cư xử, cách ăn ở; tư cách đạo đức
299	| behind	| sau, ở đằng sau
300	| belief	| lòng tin, đức tin, sự tin tưởng
301	| believe	| tin, tin tưởng
302	| bell	| cái chuông, tiếng chuông
303	| belong	| thuộc về, của, thuộc quyền sở hữu
304	| below	| ở dưới, dưới thấp, phía dưới
305	| belt	| dây lưng, thắt lưng
306	| bend	| chỗ rẽ, chỗ uốn; khuỷu tay; cúi xuống, uốn cong
307	| beneath	| ở dưới, dưới thấp
308	| benefit	| lợi, lợi ích; giúp ích, làm lợi cho
309	| bent	| khiếu, sở thích, khuynh hướng
310	| beside	| bên cạnh, so với
311	| bet	| đánh cuộc, cá cược; sự đánh cuộc
312	| better, best	| tốt hơn, tốt nhất
313	| betting	| sự đánh cuộc
314	| between	| giữa, ở giữa
315	| beyond	| ở xa, phía bên kia
316	| bicycle (bike)	| xe đạp
317	| bid	| đặt giá, trả giá; sự đặt giá, sự trả giá
318	| big	| to, lớn
319	| bill	| hóa đơn, giấy bạc
320	| bin	| thùng, thùng đựng rượu
321	| biology	| sinh vật học
322	| bird	| chim
323	| birth	| sự ra đời, sự sinh đẻ
324	| birthday	| ngày sinh, sinh nhật
325	| biscuit	| bánh quy
326	| bit	| miếng, mảnh. a bit một chút, một
327	| bite	| cắn,ngoạm;sựcắn,sựngoạm
328	| bitter	| đắng; đắng cay, chua xót
329	| bitterly	| đắng, đắng cay, chua xót
330	| black	| đen; mà
331	| blade	| lưỡi (dao, kiếm); lá (cỏ, cây); mái (chèo); cánh (chong chóng)
332	| blame	| khiển trách, mắng trách; sự khiển trách, sự mắng trách
333	| blank	| trống, để trắng; sự trống rỗng
334	| blankly	| ngây ra, không có thần
335	| blind	| đui, mù
336	| block	| khối, tảng (đá); làm ngăn cản, ngăn chặn
337	| blonde (blond)	| hoe vàng, mái tóc hoe vàng
338	| blood	| máu, huyết; sự tàn sát, chem giết
339	| blow	| nở hoa; sự nở hoa
340	| blue	| xanh, màu xanh
341	| board	| tấmván;látván,lótván.on boardtrêntàuthủy
342	| boat	| tàu, thuyền
343	| body	| thân thể, thân xác
344	| boil	| sôi, luộc
345	| bomb	| quảbom;oánhbom,thảbom
346	| bone	| xương
347	| book	| sách; ghi chép
348	| boot	| giày ống
349	| border	| bờ, mép, vỉa, lề (đường)
350	| bore	| buồn chán, buồn tẻ
351	| bored	| buồn chán
352	| boring	| buồn chán
353	| born ( be born)	| sinh, đẻ
354	| borrow	| vay, mượn
355	| boss	| ông chủ, thủ trưởng
356	| both	| cả hai
357	| bother	| làmphiền,quấyrầy,làmbựcmình
358	| bottle	| chai, lọ
359	| bottom	| phần dưới cùng, thấp nhất; cuối, cuối cùng
360	| bowl	| cái bát
361	| box	| hộp, thùng
362	| boy	| con trai, thiếu niên
363	| brain	| óc não; đầu óc, trí não
364	| branch	| ngành; nhành cây, nhánh song, ngả đường
365	| brand	| nhãn (hàng hóa)
366	| brave	| gan dạ, can đảm
367	| bread	| bánh mỳ
368	| break	| bẻgẫy,đậpvỡ;sựgãy,sựvỡ
369	| breakfast	| bữa điểm tâm, bữa sáng
370	| breast	| ngực, vú
371	| breath	| hơi thở, hơi
372	| breathe	| hít, thở
373	| breathing	| sự hô hấp, sự thở
374	| breed	| nuôi dưỡng, chăm sóc, giáo dục; sinh đẻ; nòi giống
375	| brick	| gạch
376	| bridge	| cái cầu
377	| brief	| ngắn, gọn, vắn tắt
378	| briefly	| ngắn, gọn, vắn tắt, tóm tắt
379	| bright	| sáng, sáng chói
380	| brightly	| sáng chói, tươi
381	| brilliant	| tỏa sáng, rực rỡ, chói lọi
382	| bring	| mang, cầm , xách lại
383	| broad	| rộng
384	| broadcast	| tung ra khắp nơi,truyền rộng rãi; phát thanh, quảng bá
385	| broadly	| rộng, rộng rãi
386	| broken	| bị gãy, bị vỡ
387	| brother	| anh, em trai
388	| brown	| nâu, màu nâu
389	| brush	| bàn chải; chải, quét
390	| bubble	| bong bóng, bọt, tăm
391	| budget	| ngân sách
392	| build	| xây dựng
393	| building	| sựxâydựng,côngtrìnhxâydựngtòanhà
394	| bullet	| đạn (súng trường, súng lục)
395	| bunch	| búi, chùm, bó, cụm, buồng; bầy, đàn
396	| burn	| đốt, đốt cháy, thắp, nung, thiêu
397	| burnt	| bị đốt, bị cháy, khê; rám nắng, sạm (da)
398	| burst	| nổ, nổ tung (bom, đạn); nổ, vỡ (bong bóng); háo hức
399	| bury	| chôn cất, mai táng
400	| bus	| xe buýt
401	| bush	| bụi cây, bụi rậm
402	| business	| việc buôn bán, thương mại, kinh doanh
403	| businessman, businesswoman	|  thương nhân
404	| busy	| bận, bận rộn
405	| but	| nhưng
406	| butter	| bơ
407	| button	| cái nút, cái khuy, cúc
408	| buy	| mua
409	| buyer	| người mua
410	| by	| bởi, bằng
411	| bye	| tạm biệt
412	| cabinet	| tủ có nhiều ngăn đựng đồ
413	| cable	| dây cáp
414	| cake	| bánh ngọt
415	| calculate	| tính toán
416	| calculation	| sự tính toán
417	| call	| gọi;tiếngkêu,tiếnggọi. becalled:đượcgọi, bịgọi
418	| calm	| yên lặng, làm dịu đi; sự yên lặng, sự êm ả
419	| calmly	| yên lặng, êm ả; bình tĩnh, điềm tĩnh
420	| camera	| máy ảnh
421	| camp	| trại, chỗ cắm trại; cắm trại, hạ trại
422	| campaign	| chiến dịch, cuộc vận động
423	| camping	| sự cắm trại
424	| can	| có thể; nhà tù, nhà giam, bình, ca đựng. cannot không thể
425	| cancel	| hủy bỏ, xóa bỏ
426	| cancer	| bệnh ung thư
427	| candidate	| người ứng cử, thí sinh, người dự thi
428	| candy	| kẹo
429	| cap	| mũ lưỡi trai, mũ vải
430	| capable	| có tài, có năng lực; có khả năng, cả gan
431	| capacity	| năng lực, khả năng tiếp thu, năng suất
432	| capital	| thủ đô, tiền vốn; chủ yếu, chính yếu, cơ bản
433	| captain	| người cầm đầu, người chỉ huy, th lĩnh
434	| capture	| bắt giữ, bắt; sự bắt giữ, sự bị bắt
435	| car	| xe hơi
436	| card	| thẻ, thiếp
437	| cardboard	| bìa cứng, các tông
438	| care	| sự chăm sóc, chăm nom; chăm sóc
439	| career	| nghề nghiệp, sự nghiệp
440	| careful	| cẩn thận, cẩn trọng, biết giữ gìn
441	| carefully	| cẩn thận, chu đáo
442	| careless	| sơ suất, cầu thả
443	| carelessly	| cẩu thả, bất cẩn
444	| carpet	| tấm thảm, thảm (cỏ)
445	| carrot	| củ cà rốt
446	| carry	| mang, vác, khuân chở
447	| case	| vỏ, ngăn, túi,trường hợp, cảnh ngộ, hoàn cảnh, tình thế
448	| cash	| tiền, tiền mặt
449	| cast	| quăng, ném, thả, đánh gục; sự quăng, sự ném (lưới), sự thả (neo)
450	| castle	| thành trì, thành quách
451	| cat	| con mèo
452	| catch	| bắtlấy,nắmlấy,tómlấy,chộplấy
453	| category	| hạng, loại; phạm trù
454	| cause	| nguyên nhân, nguyên do; gây ra, gây nên
455	| cd	| đĩa cd
456	| cease	| dừng, ngưng, ngớt, thôi, hết, tạnh
457	| ceiling	| trần nhà
458	| celebrate	| kỷ niệm, làm lễ kỷ niệm; tán dương, ca tụng
459	| celebration	| sự kỷ niệm, lễ kỷ niệm; sự tán dương, sự ca tụng
460	| cell	| ô, ngăn
461	| cellphone, cellular phone	| điện thoại di động
462	| cent	| đồng xu (bằng 1/100 đô la)
463	| centimetre	| xen ti mét
464	| centimetre, centimeter	| xen ti met
465	| central	| trung tâm, ở giữa, trung ương
466	| centre	| điểm giữa, trung tâm, trung ương
467	| century	| thế kỷ
468	| ceremony	| nghi thức, nghi lễ
469	| certain	| chắc chắn
470	| certainly	| chắc chắn, nhất định
471	| certificate	| giấy chứng nhận, bằng, chứng ch
472	| chain	| dây, xích; xính lại, trói lại
473	| chair	| ghế
474	| chairman, chairwoman	|  chủ tịch, chủ tọa
475	| challenge	| sự thử thách, sự thách thức; thác thức, thử thách
476	| chamber	| buồng, phòng, buồng ngủ
477	| chance	| sự mayrủi,sựtìnhcờ,ngẫunhiên
478	| change	| thấy đổi, sự thấy đổi, sự biến đổi
479	| channel	| kênh (tv, radio), eo biển
480	| chapter	| chương (sách)
481	| character	| tính cách, đặc tính, nhân vật
482	| characteristic	| riêng, riêng biệt, đặc trưng, đặc tính, đặc điểm
483	| charge	| nhiệmvụ,bổnphận,tráchnhiệm;giaonhiệmvụ,giao việc.inchargofphụ trách
484	| charity	| lòng tư thiện, lòng nhân đức; sự bố thí
485	| chart	| đồ thị, biểu đồ; vẽ đồ thị, lập biểu đồ
486	| chase	| săn bắt; sự săn bắt
487	| chat	| nói chuyện, tán gẫu; chuyện phiếm, chuyện gẫu
488	| cheap	| rẻ
489	| cheaply	| rẻ, rẻ tiền
490	| cheat	| lưa, lưa đảo; trò lưa đảo, trò gian lận
491	| check	| kiểm tra; sự kiểm tra
492	| cheek	| má
493	| cheerful	| vui mưng, phấn khởi, hồ hởi
494	| cheerfully	| vui vẻ, phấn khởi
495	| cheese	| pho mát
496	| chemical	| thuộc hóa học; chất hóa học, hóa chất
497	| chemist	| nhà hóa học
498	| chemistry	| hóahọc,mônhóahọc,ngànhhóa học
499	| chemist’s	| nhà hóa học
500	| cheque	| séc
501	| chest	| tủ, rương, hòm
502	| chew	| nhai, ngẫm nghĩ
503	| chicken	| gà, gà con, thịt gà
504	| chief	| trọngyếu,chínhyếu;thủlĩnh,lãnhtụ,ngườiđứng đầu,xếp
505	| child	| đứa bé, đứa trẻ
506	| chin	| cằm
507	| chip	| vỏ bào, mảnh vỡ, chỗ sứt, mẻ
508	| chocolate	| sô cô la
509	| choice	| sự lựa chọn
510	| choose	| chọn, lựa chọn
511	| chop	| chặt, đốn, chẻ
512	| church	| nhà thờ
513	| cigarette	| điếu thuốc lá
514	| cinema	| rạp xi nê, rạp chiếu bóng
515	| circle	| đường tròn, hình tròn
516	| circumstance	| hoàn cảnh, trường hợp, tình huống
517	| citizen	| ngườithànhthị
518	| city	| thành phố
519	| civil	| (thuộc) công dân
520	| claim	| đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu
521	| clap	| vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay
522	| class	| lớp học
523	| classic	| cổ điển, kinh điển
524	| classroom	| lớp học, phòng học
525	| clean	| sạch, sạch sẽ;
526	| clear	| lau chùi, quét dọn
527	| clearly	| rõ ràng, sáng sủa
528	| clerk	| thư ký, linh mục, mục sư
529	| clever	| lanh lợi, thông minh. tài giỏi, khéo léo
530	| click	| làmthànhtiếng lách cách; tiếngláchcách,cúnhắp(chuột)
531	| client	| khách hàng
532	| climate	| khí hậu, thời tiết
533	| climb	| leo, trèo
534	| climbing	| sự leo trèo
535	| clock	| đồng hồ
536	| close	| đóng kín, chật chội, che đậy
537	| closed	| bảo thủ, không cởi mở, khép kín
538	| closely	| chặt chẽ, kỹ lưỡng, tỉ mỉ
539	| closet	| buồng, phòng để đồ, phòng kho
540	| cloth	| vải, khăn trải bàn, áo thầy tu
541	| clothes	| quần áo
542	| clothing	| quần áo, y phục
543	| cloud	| mây, đám mây
544	| club	| câu lạc bộ; gậy, dùi cui
545	| coach	| huấn luyện viên
546	| coal	| than đá
547	| coast	| sự lao dốc; bờ biển
548	| coat	| áo choàng
549	| code	| mật mã, luật, điều lệ
550	| coffee	| cà phê
551	| coin	| tiền kim loại
552	| cold	| lạnh, sự lạnh lẽo, lạnh nhạt
553	| coldly	| lạnh nhạt, hờ hững, vô tâm
554	| collapse	| đổ, sụp đổ; sự đổ nát, sự sụp đổ
555	| colleague	| bạn đồng nghiệp
556	| collect	| sưu tập, tậptrunglại
557	| collection	| sự sưu tập, sự tụ họp
558	| college	| trường cấo đẳng, trường đại học
559	| color, colour	| màu sắc; tô màu
560	| coloured	| mang màu sắc, có màu sắc
561	| column	| cột , mục (báo)
562	| combination	| sự kết hợp, sự phối hợp
563	| combine	| kết hợp, phối hợp
564	| come	| đến, tới, đi đến, đi tới
565	| comedy	| hài kịch
566	| comfort	| sự an ủi, khuyên giải, lời động viên, sự an nhàn; dỗ dành, an ủi
567	| comfortable	| thoải mái, tiện nghi, đầy đủ
568	| comfortably	| dễ chịu, thoải mái, tiện nghi, ấm cúng
569	| command	| ra lệnh, chỉ huy; lệnh, mệnh lệnh, quyền ra lệnh, quyền chỉ huy
570	| comment	| lờibìnhluận,lờichúgiải;bìnhluận,phêbình,chúthích,dẫngiải
571	| commercial	| buôn bán, thương mại
572	| commission	| hộiđồng,ủyban,sựủynhiệm,sựủythác;ủynhiệm,ủythác
573	| commit	| giao, gửi, ủy nhiệm, ủy thác; tống giam, bỏ tù
574	| commitment	| sự phạm tội, sự tận tụy, tận tâm
575	| committee	| ủy ban
576	| common	| công, công cộng, thông thường, phổ biến. in common sự chung, của chung
577	| commonly	| thông thường, bình thường
578	| communicate	| truyền, truyền đạt; giao thiệp, liên lạc
579	| communication	| sự giao tiếp, liên lạc, sự truyền đạt, truyền tin
580	| community	| dân chúng, nhân dân
581	| company	| công ty
582	| compare	| so sánh, đối chiếu
583	| comparison	| sự so sánh
584	| compete	| đua tranh, ganh đua, cạnh tranh
585	| competition	| sự cạnh tranh, cuộc thi, cuộc thi đau
586	| competitive	| cạnh tranh, đua tranh
587	| complain	| phàn nàn, kêu ca
588	| complaint	| lời than phiền, than thở; sự khiếu nại, đơn kiện
589	| complete	| hoàn thành, xong;
590	| completely	| hoàn thành, đầy đủ, trọn vẹn
591	| complex	| phức tạp, rắc rối
592	| complicate	| làm phức tạp, rắc rối
593	| complicated	| phức tạp, rắc rối
594	| computer	| máy tính
595	| concentrate	| tập trung
596	| concentration	| sự tập trung, nơi tập trung
597	| concept	| khái niệm
598	| concern	| liên quan, dính líu tới; sự liên quan, sự dính líu tới
599	| concerned	| có liên quan, có dính líu
600	| concerning	| có liên quan, dính líu tới
601	| concert	| buổi hòa nhạc
602	| conclude	| kếtluận,kếtthúc,chấmdứt(côngviệc)
603	| conclusion	| sự kết thúc, sự kết luận, phần kết luận
604	| concrete	| bằng bê tông; bê tông
605	| condition	| điều kiện, tình cảnh, tình thế
606	| conduct	| điều khiển, chỉ đạo, chỉ huy; sự điều khiển, chỉ huy
607	| conference	| hội nghị, sự bàn bạc
608	| confidence	| lòng tin tưởng, sự tin cậy
609	| confident	| tin tưởng, tin cậy, tự tin
610	| confidently	| tự tin
611	| confine	| giam giữ, hạn chế
612	| confined	| hạn chế, giới hạn
613	| confirm	| xác nhận, chứng thực
614	| conflict	| xung đột, va chạm; sự xung đột, sự va chạm
